date,open,high,low,close,volume,a_value,b_value,a_volume,b_volume,all_volume
2016-12-12,9.95,9.99,9.25,9.29,20903615,13887989283.47,--,1494939643,0,2757709279
2016-12-13,9.26,10.0,9.25,9.63,13335995,14396268762.09,--,1494939643,0,2757709279
2016-12-14,9.62,9.85,9.43,9.46,10325711,14142129022.78,--,1494939643,0,2757709279
2016-12-15,9.43,9.55,9.3,9.53,8053652,14246774797.79,--,1494939643,0,2757709279
2016-12-16,9.44,9.52,9.33,9.4,8083005,14052432644.2,--,1494939643,0,2757709279
2016-12-19,9.4,9.81,9.01,9.66,30130541,14441116951.38,--,1494939643,0,2757709279
2016-12-20,9.66,9.76,9.38,9.55,21787239,14276673590.65,--,1494939643,0,2757709279
2016-12-21,9.58,9.59,9.4,9.45,13482184,14127179626.35,--,1494939643,0,2757709279
2016-12-22,9.45,9.45,9.3,9.43,8765715,14097280833.49,--,1494939643,0,2757709279
2016-12-23,9.39,9.39,9.25,9.29,9610969,13887989283.47,--,1494939643,0,2757709279
2016-12-26,9.25,9.34,9.2,9.3,6165904,13905625617.3,--,1495228561,0,2757709279
2016-12-27,9.31,9.36,9.28,9.31,4731845,13920577902.91,--,1495228561,0,2757709279
2016-12-28,9.31,9.41,9.28,9.4,7837176,14055148473.4,--,1495228561,0,2809078279
2016-12-29,9.44,9.45,9.32,9.4,6258506,14055148473.4,--,1495228561,0,2809078279
2016-12-30,9.34,9.39,9.29,9.32,4999585,13935530188.52,--,1495228561,0,2809078279
2017-01-03,9.33,9.37,9.29,9.34,4781412,13965434759.74,--,1495228561,0,2809078279
2017-01-04,9.35,9.41,9.32,9.39,7243303,14040196187.79,--,1495228561,0,2809078279
2017-01-05,9.41,9.47,9.38,9.41,6856512,14070100759.01,--,1495228561,0,2809078279
2017-01-06,9.42,9.6,9.41,9.48,12839928,14174766758.28,--,1495228561,0,2809078279
2017-01-09,9.48,9.57,9.35,9.53,8521983,14249528186.33,--,1495228561,0,2809078279
2017-01-10,9.54,9.57,9.44,9.47,7211991,14159814472.67,--,1495228561,0,2809078279
2017-01-11,9.47,9.48,9.26,9.36,7158463,13995339330.96,--,1495228561,0,2809078279
2017-01-12,9.36,9.53,9.25,9.36,9995105,13995339330.96,--,1495228561,0,2809078279
2017-01-13,9.42,9.42,9.16,9.21,6360488,13771055046.81,--,1495228561,0,2809078279
2017-01-16,9.22,9.28,8.32,8.75,10394151,13083249908.75,--,1495228561,0,2809078279
2017-01-17,8.78,8.86,8.63,8.69,8757301,12993536195.09,--,1495228561,0,2809078279
2017-01-18,8.7,8.76,8.59,8.6,6018064,12858965624.6,--,1495228561,0,2809078279
2017-01-19,8.59,8.64,8.5,8.55,4750450,12784204196.55,--,1495228561,0,2809078279
2017-01-20,8.57,8.69,8.55,8.64,5356198,12918774767.04,--,1495228561,0,2809078279
2017-01-23,8.65,8.74,8.64,8.72,5386279,13038393051.92,--,1495228561,0,2809078279
2017-01-24,8.72,8.74,8.66,8.68,3278600,12978583909.48,--,1495228561,0,2809078279
2017-01-25,8.67,8.67,8.58,8.63,3530050,12924240353.77,--,1497594479,0,2809078279
2017-01-26,8.64,8.74,8.63,8.71,3997640,13044047912.09,--,1497594479,0,2809078279
2017-02-03,8.7,8.79,8.64,8.64,4450900,12939216298.56,--,1497594479,0,2809078279
2017-02-06,8.64,8.72,8.58,8.64,11023446,17237899509.12,--,1995127258,0,2809078279
2017-02-07,8.65,8.68,8.61,8.66,4790723,17277802054.28,--,1995127258,0,2809078279
2017-02-08,8.66,8.68,8.59,8.66,6288716,17277802054.28,--,1995127258,0,2809078279
2017-02-09,8.66,8.75,8.65,8.74,8577230,17437412234.92,--,1995127258,0,2809078279
2017-02-10,8.76,8.88,8.72,8.79,12185329,17537168597.82,--,1995127258,0,2809078279
2017-02-13,8.8,8.87,8.76,8.82,9408097,17597022415.56,--,1995127258,0,2809078279
2017-02-14,8.82,8.84,8.76,8.77,6138602,17497266052.66,--,1995127258,0,2809078279
2017-02-15,8.78,8.97,8.78,8.81,14835708,17577071142.98,--,1995127258,0,2809078279
2017-02-16,8.81,8.85,8.72,8.8,7722792,17557119870.4,--,1995127258,0,2809078279
2017-02-17,8.81,8.83,8.7,8.72,6569249,17397509689.76,--,1995127258,0,2809078279
2017-02-20,8.74,8.77,8.69,8.76,6325130,17477314780.08,--,1995127258,0,2809078279
2017-02-21,8.76,8.8,8.73,8.79,6981371,17537168597.82,--,1995127258,0,2809078279
2017-02-22,8.78,8.78,8.74,8.78,4712213,17517217325.24,--,1995127258,0,2809078279
2017-02-23,8.78,8.8,8.71,8.76,5316962,17477314780.08,--,1995127258,0,2809078279
2017-02-24,8.75,8.78,8.71,8.78,6596423,17517217325.24,--,1995127258,0,2809078279
2017-02-27,8.78,8.85,8.73,8.75,8744095,17457363507.5,--,1995127258,0,2809078279
2017-02-28,8.75,8.79,8.72,8.76,6366970,17477314780.08,--,1995127258,0,2809078279
2017-03-01,8.76,8.78,8.73,8.73,8548757,17417460962.34,--,1995127258,0,2809078279
2017-03-02,8.73,8.76,8.7,8.7,6610460,17357607144.6,--,1995127258,0,2809078279
2017-03-03,8.69,8.69,8.58,8.63,6795654,17217948236.54,--,1995127258,0,2809078279
2017-03-06,8.65,8.73,8.64,8.72,6383674,17397509689.76,--,1995127258,0,2809078279
2017-03-07,8.71,8.75,8.68,8.74,5548601,17437412234.92,--,1995127258,0,2809078279
2017-03-08,8.75,8.76,8.7,8.73,4348882,17417460962.34,--,1995127258,0,2809078279
2017-03-09,8.71,8.74,8.61,8.63,5972798,17217948236.54,--,1995127258,0,2809078279
2017-03-10,8.63,8.65,8.55,8.57,6030345,17098240601.06,--,1995127258,0,2809078279
2017-03-13,8.57,8.74,8.42,8.67,9196974,17297753326.86,--,1995127258,0,2809078279
2017-03-14,8.65,8.68,8.58,8.6,4085043,17158094418.8,--,1995127258,0,2809078279
2017-03-15,8.6,8.6,8.53,8.55,4322498,17058338055.9,--,1995127258,0,2809078279
2017-03-16,8.55,8.69,8.53,8.61,9078440,17178045691.38,--,1995127258,0,2809078279
2017-03-17,8.61,8.62,8.51,8.52,10301062,16895121591.84,--,1982995492,0,2809078279
2017-03-20,8.5,8.54,8.45,8.48,6998155,16815801772.16,--,1982995492,0,2809078279
2017-03-21,8.48,8.51,8.43,8.46,7940864,17005257088.2,--,2010077670,0,2809078279
2017-03-22,8.46,8.46,8.39,8.44,8110122,16965055534.8,--,2010077670,0,2809078279
2017-03-23,8.43,8.49,8.41,8.46,6646210,17005257088.2,--,2010077670,0,2809078279
2017-03-24,8.46,8.67,8.4,8.61,15498176,17306768738.7,--,2010077670,0,2809078279
2017-03-27,8.6,8.67,8.56,8.59,9588106,17266567185.3,--,2010077670,0,2809078279
2017-03-28,8.6,8.63,8.53,8.55,5656259,17186164078.5,--,2010077670,0,2809078279
2017-03-29,8.53,8.59,8.48,8.48,7334509,17045458641.6,--,2010077670,0,2809078279
2017-03-30,8.5,8.91,8.4,8.64,26072038,17367071068.8,--,2010077670,0,2809078279
2017-03-31,8.58,8.78,8.52,8.74,18428668,17568078835.8,--,2010077670,0,2809078279
2017-04-05,8.75,9.0,8.74,8.89,20856906,17869590486.3,--,2010077670,0,2809078279
2017-04-06,8.9,9.33,8.78,9.19,38540639,18472613787.3,--,2010077670,0,2809078279
2017-04-07,9.1,9.16,9.0,9.08,23351023,18251505243.6,--,2010077670,0,2809078279
2017-04-10,9.07,9.07,8.88,8.89,17377502,17869590486.3,--,2010077670,0,2809078279
2017-04-11,8.85,9.05,8.84,9.05,17329586,18191202913.5,--,2010077670,0,2809078279
2017-04-12,9.0,9.01,8.86,8.88,12962757,17849489709.6,--,2010077670,0,2809078279
2017-04-13,8.88,8.94,8.8,8.81,9888777,17708784272.7,--,2010077670,0,2809078279
2017-04-14,8.8,8.99,8.8,8.82,10990591,17728885049.4,--,2010077670,0,2809078279
2017-04-17,8.83,8.95,8.78,8.88,10069415,17849489709.6,--,2010077670,0,2809078279
2017-04-18,8.84,8.95,8.77,8.79,8528986,17668582719.3,--,2010077670,0,2809078279
2017-04-19,8.75,8.78,8.41,8.7,10802776,17487675729.0,--,2010077670,0,2809078279
2017-04-20,8.72,8.77,8.61,8.7,8192932,17487675729.0,--,2010077670,0,2809078279
2017-04-21,8.7,8.77,8.68,8.75,5077233,17588179612.5,--,2010077670,0,2809078279
2017-04-24,8.74,8.74,8.41,8.64,7089211,17367071068.8,--,2010077670,0,2809078279
2017-04-25,8.62,8.69,8.51,8.62,4917841,17326869515.4,--,2010077670,0,2809078279
2017-04-26,8.62,8.64,8.41,8.43,9035456,16944954758.1,--,2010077670,0,2809078279
2017-04-27,8.38,8.38,8.15,8.22,12281396,16522838447.4,--,2010077670,0,2809078279
2017-04-28,8.22,8.24,8.06,8.08,12319363,16241427573.6,--,2010077670,0,2809078279
2017-05-02,8.09,8.13,7.96,7.98,9684786,16040419806.6,--,2010077670,0,2809078279
2017-05-03,7.99,8.04,7.9,7.92,7763618,15919815146.4,--,2010077670,0,2809078279
2017-05-04,7.93,7.93,7.81,7.88,8177165,15839412039.6,--,2010077670,0,2809078279
2017-05-05,7.9,7.9,7.51,7.54,17977630,15155985631.8,--,2010077670,0,2809078279
2017-05-08,7.52,7.52,7.31,7.31,8826250,14693667767.7,--,2010077670,0,2809078279
2017-05-09,7.2,7.37,7.19,7.33,5748946,14733869321.1,--,2010077670,0,2809078279
2017-05-10,7.38,7.5,7.33,7.36,7737016,14794171651.2,--,2010077670,0,2809078279
2017-05-11,7.32,7.42,7.05,7.42,9205052,14914776311.4,--,2010077670,0,2809078279
2017-05-12,7.4,7.41,7.3,7.35,4018217,14774070874.5,--,2010077670,0,2809078279
