ticker,date,open,high,low,close,volume,a_value,b_value,a_volume,b_volume,all_volume
000001.SZ,2005-04-08,6.29,6.79,6.18,6.79,49716401,9569567742.35,--,1409361965,0,1945822149
000001.SZ,2005-04-11,6.8,7.39,6.62,6.94,55705101,9780972037.1,--,1409361965,0,1945822149
000001.SZ,2005-04-12,6.88,6.91,6.62,6.64,29134874,9358163447.6,--,1409361965,0,1945822149
000001.SZ,2005-04-13,6.7,7.13,6.68,6.88,41049501,9696410319.2,--,1409361965,0,1945822149
000001.SZ,2005-04-14,6.85,6.87,6.52,6.6,20330132,9301788969.0,--,1409361965,0,1945822149
000001.SZ,2005-04-15,6.5,6.77,6.38,6.63,18402621,9344069827.95,--,1409361965,0,1945822149
000001.SZ,2005-04-18,6.58,6.58,6.35,6.43,10199392,9062197434.95,--,1409361965,0,1945822149
000001.SZ,2005-04-19,6.43,6.79,6.41,6.75,19204568,9513193263.75,--,1409361965,0,1945822149
000001.SZ,2005-04-20,6.6,6.74,6.45,6.63,13212542,9344069827.95,--,1409361965,0,1945822149
000001.SZ,2005-04-21,6.63,6.63,6.63,6.63,--,9344069827.95,--,1409361965,0,1945822149
000001.SZ,2005-04-22,6.16,6.4,5.97,5.98,24913014,8427984550.7,--,1409361965,0,1945822149
000001.SZ,2005-04-25,5.8,5.85,5.4,5.79,16440083,8160205777.35,--,1409361965,0,1945822149
000001.SZ,2005-04-26,5.77,6.13,5.7,6.05,14487460,8526639888.25,--,1409361965,0,1945822149
000001.SZ,2005-04-27,6.05,6.05,5.68,5.72,10979891,8061550439.8,--,1409361965,0,1945822149
000001.SZ,2005-04-28,5.7,6.02,5.48,5.88,13263365,8287048354.2,--,1409361965,0,1945822149
000001.SZ,2005-04-29,5.88,6.47,5.8,6.2,23627350,8738044183.0,--,1409361965,0,1945822149
000001.SZ,2005-05-09,6.23,6.27,5.98,6.09,9693911,8583014366.85,--,1409361965,0,1945822149
000001.SZ,2005-05-10,6.09,6.36,5.97,6.31,10841413,8893073999.15,--,1409361965,0,1945822149
000001.SZ,2005-05-11,6.28,6.4,6.12,6.19,10686837,8723950563.35,--,1409361965,0,1945822149
